"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"11","Nijjer et al. 2007","2007","Quercus nigra","Quercus","Fagaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","0.058268908","0.004803987","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"12","Nijjer et al. 2007","2007","Quercus nigra","Quercus","Fagaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","0.163629424","0.011105222","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"13","Nijjer et al. 2007","2007","Sapium sebiferum","Sapium","Euphorbiaceae","Field","Woody","Non-native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","-0.486532931","0.45257398","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"14","Nijjer et al. 2007","2007","Sapium sebiferum","Sapium","Euphorbiaceae","Field","Woody","Non-native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","-0.382992252","0.477502296","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"15","Mangan et al. 2010","2010","Apeiba membranacea","Apeiba","Malvaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.007788201","0.057650351","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"16","Mangan et al. 2010","2010","Apeiba membranacea","Apeiba","Malvaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.067636727","0.033815865","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"17","Mangan et al. 2010","2010","Apeiba membranacea","Apeiba","Malvaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.080343378","0.031201596","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"18","Mangan et al. 2010","2010","Beilschmiedia pendula","Beilschmiedia","Lauraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.135302587","0.007458131","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"19","Mangan et al. 2010","2010","Beilschmiedia pendula","Beilschmiedia","Lauraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.097139873","0.005145345","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"20","Mangan et al. 2010","2010","Beilschmiedia pendula","Beilschmiedia","Lauraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.09552992","0.005381965","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"21","Mangan et al. 2010","2010","Beilschmiedia pendula","Beilschmiedia","Lauraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.062622908","0.005453298","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"22","Mangan et al. 2010","2010","Brosimum alicastrum","Brosimum","Moraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.334213666","0.018020297","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"23","Mangan et al. 2010","2010","Brosimum alicastrum","Brosimum","Moraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.381752657","0.017955571","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"24","Mangan et al. 2010","2010","Brosimum alicastrum","Brosimum","Moraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.258083789","0.019150499","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"25","Mangan et al. 2010","2010","Brosimum alicastrum","Brosimum","Moraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.359777614","0.017965464","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"26","Mangan et al. 2010","2010","Lacmellea panamensis","Lacmellea","Apocynaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.533643389","0.020011712","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"27","Mangan et al. 2010","2010","Lacmellea panamensis","Lacmellea","Apocynaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.468205299","0.021178257","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"28","Mangan et al. 2010","2010","Lacmellea panamensis","Lacmellea","Apocynaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.38177815","0.022071652","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"29","Mangan et al. 2010","2010","Lacmellea panamensis","Lacmellea","Apocynaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","0.056168446","0.076161407","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"30","Mangan et al. 2010","2010","Simarouba amara","Simarouba","Simaroubaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","0.613975906","0.019421345","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"31","Mangan et al. 2010","2010","Simarouba amara","Simarouba","Simaroubaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","0.040846399","0.009491279","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"32","Mangan et al. 2010","2010","Simarouba amara","Simarouba","Simaroubaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.064453102","0.014945425","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"33","Mangan et al. 2010","2010","Simarouba amara","Simarouba","Simaroubaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","6","Crowford2019","-0.035104784","0.009815004","9.1667","-79.85","9.1667","26.39583397","2496","1.481","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"34","Yelenik,2011","2011","Artemisia californica","Artemisia","Asteraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Alone","3","Xi et al. 2021","-0.115198073","0.46500268","33.99814","-119.6957","33.99814","15.20833302","400","0.2543","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"35","Yelenik,2011","2011","Artemisia californica","Artemisia","Asteraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Alone","3","Xi et al. 2021","-0.449323424","0.389472891","33.99814","-119.6957","33.99814","15.20833302","400","0.2543","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"36","Yelenik,2011","2011","Artemisia californica","Artemisia","Asteraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","3","Xi et al. 2021","-1.078809661","0.249182968","33.99814","-119.6957","33.99814","15.20833302","400","0.2543","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"37","Yelenik,2011","2011","Artemisia californica","Artemisia","Asteraceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","3","Xi et al. 2021","-1.631177899","0.076224825","33.99814","-119.6957","33.99814","15.20833302","400","0.2543","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"38","Yelenik,2011","2011","Eriogonum arborescens","Eriogonum","Polygonaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","3","Xi et al. 2021","-0.301094182","0.453124879","33.99814","-119.6957","33.99814","15.20833302","400","0.2543","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"39","Yelenik,2011","2011","Eriogonum arborescens","Eriogonum","Polygonaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Alone","3","Xi et al. 2021","0.134633726","0.282754903","33.99814","-119.6957","33.99814","15.20833302","400","0.2543","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"40","Yelenik,2011","2011","Eriogonum arborescens","Eriogonum","Polygonaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Alone","3","Xi et al. 2021","-0.83308803","0.176396078","33.99814","-119.6957","33.99814","15.20833302","400","0.2543","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"41","Yelenik,2011","2011","Eriogonum arborescens","Eriogonum","Polygonaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Alone","3","Xi et al. 2021","-0.202538252","0.112740746","33.99814","-119.6957","33.99814","15.20833302","400","0.2543","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"42","Rodríguez-Echeverría,2013,PE","2013","Acacia dealbata","Acacia","Fabaceae","Field","Woody","Non-native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Whole soil","Competition","12","Xi et al. 2021","0.542537001","0.033489105","40.21","-8.4","40.21","15.78750038","972","0.6932","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"43","Rodríguez-Echeverría,2013,PE","2013","Acacia dealbata","Acacia","Fabaceae","Field","Woody","Non-native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Whole soil","Competition","12","Xi et al. 2021","0.642252755","0.043191068","40.21","-8.4","40.21","15.78750038","972","0.6932","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"44","Rodríguez-Echeverría,2013,PE","2013","Pinus pinaster","Pinus","Pinaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Whole soil","Competition","12","Xi et al. 2021","0.322900627","0.043358054","40.21","-8.4","40.21","15.78750038","972","0.6932","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"45","Rodríguez-Echeverría,2013,PE","2013","Pinus pinaster","Pinus","Pinaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Whole soil","Competition","12","Xi et al. 2021","0.399566509","0.035431747","40.21","-8.4","40.21","15.78750038","972","0.6932","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"46","Gundale et al. 2014","2014","Pinus contorta","Pinus","Pinaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Alone","5","Figure 2","-0.19514582","0.012962958","58.67","-126.23","58.67","-5.291666508","675","1.0066","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"47","Gundale et al. 2014","2014","Pinus contorta","Pinus","Pinaceae","Field","Woody","Non-native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Alone","5","Figure 2","0.372613726","0.011933309","63.95","17.69","63.95","0.950000048","683","1.1672","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"48","Mo 2014","2014","Pinus massoniana","Pinus","Pinaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","7.5","Figure 4-10","-0.710096739","0.006840208","29.25","118.15","29.25","15.3","1963.7","1.6892","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
